dataset,method,backbone,n_layers,metric,full,degrade_text,degrade_visual,full_pm,degrade_text_pm,degrade_visual_pm,overall_hmean_pm,single_modality,inductive,fewshots,text_feature,visual_feature,lr,wd,dropout,n_hidden,embed_dim,aux_weight,mlp_variant,modality_encoder,enc_n_layers,enc_hidden_dim,full_std,degrade_text_std,degrade_visual_std,nts_sign_k,nts_sign_alpha,nts_num_tf_layers,nts_num_heads,k_t,k_v,num_samples,tur_weight,mgdcf_alpha,mgdcf_beta
Movies,NTSFormer,GCN,1,f1,43.531,3.483,43.524,43.53 ± 1.52,3.48 ± 0.14,43.52 ± 1.49,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.005,0.0001,0.3,256,256,,,,,,1.522,0.139,1.494,2,0.0,2,2,,,,,,
Movies,NTSFormer,GCN,1,f1,42.093,3.599,42.095,42.09 ± 2.94,3.60 ± 0.40,42.10 ± 2.94,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.005,0.0001,0.3,256,256,,,,,,2.941,0.397,2.938,2,0.0,3,2,,,,,,
Movies,NTSFormer,GCN,1,f1,46.997,6.353,44.584,47.00 ± 0.21,6.35 ± 1.18,44.58 ± 2.18,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.001,0.0001,0.3,256,256,,,,,,0.212,1.179,2.182,2,0.0,2,2,,,,,,
Movies,NTSFormer,GCN,1,f1,49.488,8.067,46.989,49.49 ± 1.21,8.07 ± 1.28,46.99 ± 1.30,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.001,0.0001,0.3,256,256,,,,,,1.208,1.278,1.301,2,0.0,3,2,,,,,,
Movies,NTSFormer,GCN,1,f1,50.483,12.362,45.169,50.48 ± 0.33,12.36 ± 1.47,45.17 ± 0.93,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,,,,,,0.331,1.471,0.933,2,0.0,2,2,,,,,,
Movies,NTSFormer,GCN,1,f1,49.598,8.937,45.614,49.60 ± 0.24,8.94 ± 1.39,45.61 ± 0.96,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,,,,,,0.239,1.387,0.957,2,0.0,3,2,,,,,,
Movies,MIG_GT,GCN,1,f1,32.399,14.296,11.931,32.40 ± 9.18,14.30 ± 1.45,11.93 ± 0.71,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.005,0.0001,0.3,256,256,,,,,,9.179,1.451,0.713,,,,,3,2,10,1.0,0.1,0.9
Movies,MIG_GT,GCN,1,f1,27.67,14.612,13.788,27.67 ± 10.53,14.61 ± 1.44,13.79 ± 1.43,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.005,0.0001,0.3,256,256,,,,,,10.531,1.436,1.431,,,,,2,3,10,1.0,0.1,0.9
Movies,MIG_GT,GCN,1,f1,40.967,13.792,17.571,40.97 ± 1.65,13.79 ± 1.65,17.57 ± 1.84,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.001,0.0001,0.3,256,256,,,,,,1.646,1.647,1.839,,,,,3,2,10,1.0,0.1,0.9
Movies,MIG_GT,GCN,1,f1,45.105,16.562,21.154,45.11 ± 2.33,16.56 ± 0.65,21.15 ± 1.39,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.001,0.0001,0.3,256,256,,,,,,2.334,0.647,1.389,,,,,2,3,10,1.0,0.1,0.9
Movies,MIG_GT,GCN,1,f1,27.472,12.836,12.273,27.47 ± 6.74,12.84 ± 0.18,12.27 ± 1.63,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,,,,,,6.742,0.181,1.628,,,,,3,2,10,1.0,0.1,0.9
Movies,MIG_GT,GCN,1,f1,27.343,12.843,12.893,27.34 ± 7.83,12.84 ± 0.29,12.89 ± 2.46,,none,False,,Movies_Llama_3.2_11B_Vision_Instruct_512_mean.npy,Movies_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,,,,,,7.835,0.291,2.464,,,,,2,3,10,1.0,0.1,0.9
Grocery,NTSFormer,GCN,1,f1,75.151,1.391,75.151,75.15 ± 1.00,1.39 ± 0.36,75.15 ± 1.00,,none,False,,Grocery_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Grocery_Llama-3.2-11B-Vision-Instruct_visual.npy,0.005,0.0001,0.3,256,256,,,,,,0.997,0.359,0.997,2,0.0,2,2,,,,,,
Grocery,NTSFormer,GCN,1,f1,72.967,1.549,72.967,72.97 ± 1.46,1.55 ± 0.50,72.97 ± 1.46,,none,False,,Grocery_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Grocery_Llama-3.2-11B-Vision-Instruct_visual.npy,0.005,0.0001,0.3,256,256,,,,,,1.459,0.498,1.459,2,0.0,3,2,,,,,,
Grocery,NTSFormer,GCN,1,f1,80.193,28.763,79.2,80.19 ± 0.26,28.76 ± 4.46,79.20 ± 0.30,,none,False,,Grocery_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Grocery_Llama-3.2-11B-Vision-Instruct_visual.npy,0.001,0.0001,0.3,256,256,,,,,,0.262,4.456,0.296,2,0.0,2,2,,,,,,
Grocery,NTSFormer,GCN,1,f1,80.471,18.384,80.122,80.47 ± 0.21,18.38 ± 7.30,80.12 ± 0.30,,none,False,,Grocery_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Grocery_Llama-3.2-11B-Vision-Instruct_visual.npy,0.001,0.0001,0.3,256,256,,,,,,0.214,7.305,0.296,2,0.0,3,2,,,,,,
Grocery,NTSFormer,GCN,1,f1,79.595,31.864,78.296,79.59 ± 0.74,31.86 ± 6.53,78.30 ± 0.38,,none,False,,Grocery_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Grocery_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,,,,,,0.742,6.533,0.379,2,0.0,2,2,,,,,,
Grocery,NTSFormer,GCN,1,f1,80.023,34.396,79.51,80.02 ± 0.20,34.40 ± 6.50,79.51 ± 0.29,,none,False,,Grocery_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Grocery_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,,,,,,0.204,6.497,0.285,2,0.0,3,2,,,,,,
Grocery,MIG_GT,GCN,1,f1,76.141,41.687,72.858,76.14 ± 1.65,41.69 ± 0.38,72.86 ± 1.76,,none,False,,Grocery_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Grocery_Llama-3.2-11B-Vision-Instruct_visual.npy,0.005,0.0001,0.3,256,256,,,,,,1.645,0.382,1.759,,,,,3,2,10,1.0,0.1,0.9
Grocery,MIG_GT,GCN,1,f1,76.053,43.055,71.941,76.05 ± 1.27,43.05 ± 1.59,71.94 ± 2.15,,none,False,,Grocery_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Grocery_Llama-3.2-11B-Vision-Instruct_visual.npy,0.005,0.0001,0.3,256,256,,,,,,1.267,1.589,2.15,,,,,2,3,10,1.0,0.1,0.9
Grocery,MIG_GT,GCN,1,f1,76.636,46.726,72.452,76.64 ± 1.10,46.73 ± 0.30,72.45 ± 1.12,,none,False,,Grocery_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Grocery_Llama-3.2-11B-Vision-Instruct_visual.npy,0.001,0.0001,0.3,256,256,,,,,,1.103,0.295,1.121,,,,,3,2,10,1.0,0.1,0.9
Grocery,MIG_GT,GCN,1,f1,77.105,46.619,72.96,77.11 ± 0.30,46.62 ± 0.65,72.96 ± 0.44,,none,False,,Grocery_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Grocery_Llama-3.2-11B-Vision-Instruct_visual.npy,0.001,0.0001,0.3,256,256,,,,,,0.298,0.654,0.438,,,,,2,3,10,1.0,0.1,0.9
Grocery,MIG_GT,GCN,1,f1,76.208,47.512,72.554,76.21 ± 0.71,47.51 ± 1.25,72.55 ± 0.94,,none,False,,Grocery_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Grocery_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,,,,,,0.711,1.25,0.942,,,,,3,2,10,1.0,0.1,0.9
Grocery,MIG_GT,GCN,1,f1,73.954,45.669,71.051,73.95 ± 1.70,45.67 ± 0.48,71.05 ± 0.91,,none,False,,Grocery_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Grocery_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,,,,,,1.696,0.477,0.908,,,,,2,3,10,1.0,0.1,0.9
Toys,NTSFormer,GCN,1,f1,80.371,3.397,80.36,80.37 ± 0.35,3.40 ± 0.25,80.36 ± 0.39,,none,False,,Toys_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Toys_Llama-3.2-11B-Vision-Instruct_visual.npy,0.005,0.0001,0.3,256,256,,,,,,0.35,0.254,0.388,2,0.0,2,2,,,,,,
Toys,NTSFormer,GCN,1,f1,78.903,6.975,78.788,78.90 ± 0.09,6.97 ± 3.61,78.79 ± 0.14,,none,False,,Toys_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Toys_Llama-3.2-11B-Vision-Instruct_visual.npy,0.005,0.0001,0.3,256,256,,,,,,0.091,3.613,0.145,2,0.0,3,2,,,,,,
Toys,NTSFormer,GCN,1,f1,80.716,23.933,79.918,80.72 ± 0.21,23.93 ± 3.10,79.92 ± 0.07,,none,False,,Toys_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Toys_Llama-3.2-11B-Vision-Instruct_visual.npy,0.001,0.0001,0.3,256,256,,,,,,0.214,3.099,0.068,2,0.0,2,2,,,,,,
Toys,NTSFormer,GCN,1,f1,80.687,35.586,79.875,80.69 ± 0.30,35.59 ± 10.11,79.88 ± 0.38,,none,False,,Toys_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Toys_Llama-3.2-11B-Vision-Instruct_visual.npy,0.001,0.0001,0.3,256,256,,,,,,0.299,10.105,0.383,2,0.0,3,2,,,,,,
Toys,NTSFormer,GCN,1,f1,80.837,34.186,80.212,80.84 ± 0.13,34.19 ± 9.85,80.21 ± 0.35,,none,False,,Toys_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Toys_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,,,,,,0.134,9.847,0.349,2,0.0,2,2,,,,,,
Toys,NTSFormer,GCN,1,f1,80.963,47.243,80.187,80.96 ± 0.21,47.24 ± 2.97,80.19 ± 0.36,,none,False,,Toys_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Toys_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,,,,,,0.215,2.97,0.357,2,0.0,3,2,,,,,,
Toys,MIG_GT,GCN,1,f1,77.003,57.067,71.252,77.00 ± 1.93,57.07 ± 1.79,71.25 ± 3.10,,none,False,,Toys_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Toys_Llama-3.2-11B-Vision-Instruct_visual.npy,0.005,0.0001,0.3,256,256,,,,,,1.932,1.789,3.097,,,,,3,2,10,1.0,0.1,0.9
Toys,MIG_GT,GCN,1,f1,77.758,58.701,73.418,77.76 ± 1.35,58.70 ± 1.37,73.42 ± 1.58,,none,False,,Toys_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Toys_Llama-3.2-11B-Vision-Instruct_visual.npy,0.005,0.0001,0.3,256,256,,,,,,1.346,1.366,1.584,,,,,2,3,10,1.0,0.1,0.9
Toys,MIG_GT,GCN,1,f1,78.058,56.889,74.241,78.06 ± 0.76,56.89 ± 0.10,74.24 ± 1.01,,none,False,,Toys_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Toys_Llama-3.2-11B-Vision-Instruct_visual.npy,0.001,0.0001,0.3,256,256,,,,,,0.758,0.104,1.01,,,,,3,2,10,1.0,0.1,0.9
Toys,MIG_GT,GCN,1,f1,78.291,57.71,74.759,78.29 ± 1.13,57.71 ± 0.28,74.76 ± 1.64,,none,False,,Toys_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Toys_Llama-3.2-11B-Vision-Instruct_visual.npy,0.001,0.0001,0.3,256,256,,,,,,1.127,0.282,1.637,,,,,2,3,10,1.0,0.1,0.9
Toys,MIG_GT,GCN,1,f1,77.147,56.191,73.432,77.15 ± 1.54,56.19 ± 1.44,73.43 ± 1.69,,none,False,,Toys_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Toys_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,,,,,,1.536,1.443,1.694,,,,,3,2,10,1.0,0.1,0.9
Toys,MIG_GT,GCN,1,f1,75.05,53.971,71.247,75.05 ± 1.07,53.97 ± 1.86,71.25 ± 1.73,,none,False,,Toys_Llama_3.2_11B_Vision_Instruct_256_mean.npy,Toys_Llama-3.2-11B-Vision-Instruct_visual.npy,0.0005,0.0001,0.3,256,256,,,,,,1.075,1.863,1.73,,,,,2,3,10,1.0,0.1,0.9
