dataset,method,backbone,n_layers,metric,full,degrade_text,degrade_visual,full_pm,degrade_text_pm,degrade_visual_pm,overall_hmean_pm,single_modality,inductive,fewshots,text_feature,visual_feature,lr,wd,dropout,n_hidden,full_std,degrade_text_std,degrade_visual_std,degrade_text_a100,degrade_text_a100_std,degrade_text_a100_pm,degrade_visual_a100,degrade_visual_a100_std,degrade_visual_a100_pm
Movies,EarlyFusionMLP,MLP,2,f1,41.272,30.087,16.188,41.27 ± 0.98,30.09 ± 1.82,16.19 ± 0.40,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.98,1.821,0.4,30.087,1.821,30.09 ± 1.82,16.188,0.4,16.19 ± 0.40
Movies,EarlyFusionMLP,MLP,3,f1,40.444,29.256,14.654,40.44 ± 0.54,29.26 ± 0.36,14.65 ± 0.21,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.541,0.357,0.215,29.256,0.357,29.26 ± 0.36,14.654,0.215,14.65 ± 0.21
Movies,EarlyFusionMLP,MLP,2,f1,42.523,32.508,16.547,42.52 ± 0.77,32.51 ± 0.43,16.55 ± 1.24,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.769,0.435,1.236,32.508,0.435,32.51 ± 0.43,16.547,1.236,16.55 ± 1.24
Movies,EarlyFusionMLP,MLP,3,f1,40.706,30.98,15.298,40.71 ± 0.51,30.98 ± 1.13,15.30 ± 1.00,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.509,1.127,1.005,30.98,1.127,30.98 ± 1.13,15.298,1.005,15.30 ± 1.00
Movies,EarlyFusionGNN,GCN,1,f1,44.265,29.83,9.575,44.27 ± 0.21,29.83 ± 1.33,9.57 ± 1.31,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.214,1.326,1.306,29.83,1.326,29.83 ± 1.33,9.575,1.306,9.57 ± 1.31
Movies,EarlyFusionGNN,GCN,2,f1,46.477,30.347,13.503,46.48 ± 0.57,30.35 ± 0.66,13.50 ± 1.03,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.573,0.66,1.027,30.347,0.66,30.35 ± 0.66,13.503,1.027,13.50 ± 1.03
Movies,EarlyFusionGNN,GCN,1,f1,44.528,31.213,11.145,44.53 ± 0.58,31.21 ± 2.99,11.14 ± 0.25,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.577,2.994,0.245,31.213,2.994,31.21 ± 2.99,11.145,0.245,11.14 ± 0.25
Movies,EarlyFusionGNN,GCN,2,f1,48.142,34.744,13.513,48.14 ± 0.34,34.74 ± 0.32,13.51 ± 0.38,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.341,0.32,0.376,34.744,0.32,34.74 ± 0.32,13.513,0.376,13.51 ± 0.38
Movies,EarlyFusionGNN,SAGE,2,f1,49.802,35.384,15.084,49.80 ± 0.68,35.38 ± 1.28,15.08 ± 1.09,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.683,1.28,1.094,35.384,1.28,35.38 ± 1.28,15.084,1.094,15.08 ± 1.09
Movies,EarlyFusionGNN,SAGE,3,f1,49.978,34.74,16.776,49.98 ± 0.20,34.74 ± 1.01,16.78 ± 0.50,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.205,1.011,0.502,34.74,1.011,34.74 ± 1.01,16.776,0.502,16.78 ± 0.50
Movies,EarlyFusionGNN,SAGE,4,f1,51.309,36.807,18.107,51.31 ± 0.74,36.81 ± 1.41,18.11 ± 0.67,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,0.739,1.407,0.674,36.807,1.407,36.81 ± 1.41,18.107,0.674,18.11 ± 0.67
Movies,EarlyFusionGNN,SAGE,2,f1,49.695,37.196,15.191,49.69 ± 0.70,37.20 ± 1.18,15.19 ± 0.86,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.696,1.176,0.86,37.196,1.176,37.20 ± 1.18,15.191,0.86,15.19 ± 0.86
Movies,EarlyFusionGNN,SAGE,3,f1,50.289,37.731,15.835,50.29 ± 0.43,37.73 ± 0.45,15.84 ± 0.53,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.426,0.453,0.532,37.731,0.453,37.73 ± 0.45,15.835,0.532,15.84 ± 0.53
Movies,EarlyFusionGNN,SAGE,4,f1,50.321,39.678,17.73,50.32 ± 0.42,39.68 ± 0.52,17.73 ± 1.85,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.42,0.522,1.851,39.678,0.522,39.68 ± 0.52,17.73,1.851,17.73 ± 1.85
Movies,EarlyFusionGNN,GAT,1,f1,13.973,10.595,4.509,13.97 ± 16.06,10.60 ± 10.93,4.51 ± 2.69,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,16.059,10.928,2.687,10.595,10.928,10.60 ± 10.93,4.509,2.687,4.51 ± 2.69
Movies,EarlyFusionGNN,GAT,2,f1,31.599,19.289,9.278,31.60 ± 20.21,19.29 ± 11.25,9.28 ± 4.47,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,20.208,11.248,4.471,19.289,11.248,19.29 ± 11.25,9.278,4.471,9.28 ± 4.47
Movies,EarlyFusionGNN,GAT,1,f1,44.214,30.959,9.789,44.21 ± 0.97,30.96 ± 0.76,9.79 ± 1.06,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,0.966,0.757,1.056,30.959,0.757,30.96 ± 0.76,9.789,1.056,9.79 ± 1.06
Movies,EarlyFusionGNN,GAT,2,f1,32.003,21.399,10.159,32.00 ± 20.85,21.40 ± 13.44,10.16 ± 5.44,,text,False,,Movies_roberta_base_512_mean.npy,Movies_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,20.846,13.444,5.439,21.399,13.444,21.40 ± 13.44,10.159,5.439,10.16 ± 5.44
